size_D,duration_D,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D,app_0,app_1,app_2,app_3,app_4,har_0,har_1,har_2,har_3,har_4,dba_1,dba_2,dba_3,ifc_0,ifc_1,source_0,source_1,telonuse_0,telonuse_1,nlan_1,nlan_2,nlan_3,nlan_4
562,14,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0
647,16,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
130,5,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
254,8,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1056,16,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
383,12,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
345,12,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
209,27,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
366,24,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1181,54,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
181,13,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
739,21,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
108,7,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
48,10,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0
249,19,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
371,11,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
211,13,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1849,32,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
2482,38,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
434,40,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
292,29,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
2954,14,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
304,14,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
353,28,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
567,16,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
467,13,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5100,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
3368,45,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63694,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
253,4,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1651,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
196,10,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1450,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
185,12,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1745,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
387,6,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1798,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
430,28,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2957,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
204,6,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,963,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
71,6,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1233,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
840,6,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3240,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
1648,11,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10000,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
1035,8,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6800,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
548,22,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3850,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
2054,31,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,14000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
302,26,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5787,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1172,22,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9700,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
253,7,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1100,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
227,14,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5578,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
59,6,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1060,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
299,6,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5279,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
422,15,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8117,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1058,9,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8710,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
65,9,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,796,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
390,26,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11023,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
193,13,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1755,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1526,28,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,5931,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
575,13,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4456,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
509,13,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3600,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
583,12,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4557,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
315,14,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8752,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
138,12,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3440,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
257,9,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1981,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
423,30,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13700,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
495,20,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7105,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
622,16,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6816,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
204,12,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4620,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
616,15,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7451,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
3634,33,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39479,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
